Voltage_measured (Volts),Current_measured (Amps),Temperature_measured (C),Time (secs),Source_File,Ambient Temperature,Delta_Temperature,state,cycle_number,
3.873017221,-0.001200661,24.65535783,0,Cycle_1_charge.csv,24,0.655357834,charge,1,
3.479393559,-4.030268478,24.66647981,2.532,Cycle_1_charge.csv,24,0.666479812,charge,1,
4.000587822,1.512730647,24.67539447,5.5,Cycle_1_charge.csv,24,0.67539447,charge,1,
4.012395194,1.509063282,24.69386509,8.344,Cycle_1_charge.csv,24,0.693865094,charge,1,
4.019708059,1.511318193,24.70506946,11.125,Cycle_1_charge.csv,24,0.70506946,charge,1,
4.025409467,1.51277913,24.71813972,13.891,Cycle_1_charge.csv,24,0.718139717,charge,1,
4.030636266,1.511838343,24.73114415,16.672,Cycle_1_charge.csv,24,0.731144147,charge,1,
4.035348959,1.510245404,24.74128965,19.5,Cycle_1_charge.csv,24,0.741289654,charge,1,
4.039716367,1.507795762,24.75901141,22.282,Cycle_1_charge.csv,24,0.759011414,charge,1,
4.04354121,1.507322026,24.76689109,25.063,Cycle_1_charge.csv,24,0.766891095,charge,1,
4.046724069,1.510225939,24.77833908,27.828,Cycle_1_charge.csv,24,0.778339076,charge,1, 
4.050320832,1.51185336,24.79565341,30.641,Cycle_1_charge.csv,24,0.795653409,charge,1,
4.053477757,1.510139289,24.79560886,33.453,Cycle_1_charge.csv,24,0.795608863,charge,1,
4.056879474,1.512817714,24.80759179,36.219,Cycle_1_charge.csv,24,0.807591786,charge,1,
4.06020401,1.509577661,24.82664625,39.735,Cycle_1_charge.csv,24,0.826646253,charge,1,
4.06309148,1.512772146,24.83742133,42.578,Cycle_1_charge.csv,24,0.837421333,charge,1,
4.066063636,1.509769494,24.8467593,45.438,Cycle_1_charge.csv,24,0.846759303,charge,1,
4.068105681,1.51136777,24.84916666,48.297,Cycle_1_charge.csv,24,0.849166658,charge,1,
4.070910891,1.513397984,24.85294998,51.188,Cycle_1_charge.csv,24,0.852949982,charge,1,
4.073140624,1.511197352,24.86507399,54.047,Cycle_1_charge.csv,24,0.865073985,charge,1,
4.075311977,1.511244173,24.87506247,56.922,Cycle_1_charge.csv,24,0.875062473,charge,1,
4.077986508,1.508112631,24.88648983,59.797,Cycle_1_charge.csv,24,0.886489825,charge,1,
4.079760222,1.508852666,24.90653923,62.688,Cycle_1_charge.csv,24,0.906539228,charge,1,
4.081802115,1.510345307,24.90930298,65.657,Cycle_1_charge.csv,24,0.909302977,charge,1,
4.083793222,1.513880718,24.91400307,68.547,Cycle_1_charge.csv,24,0.91400307,charge,1,
4.085358876,1.507549217,24.92638503,71.453,Cycle_1_charge.csv,24,0.926385032,charge,1,
4.087077934,1.511287164,24.93787289,74.344,Cycle_1_charge.csv,24,0.937872895,charge,1,
4.088869896,1.512063308,24.95146771,77.235,Cycle_1_charge.csv,24,0.951467708,charge,1,
4.089918408,1.512585708,24.95078944,80.188,Cycle_1_charge.csv,24,0.950789442,charge,1,
4.092041174,1.509394822,24.98153815,83.172,Cycle_1_charge.csv,24,0.981538149,charge,1,
4.093273406,1.510155243,24.99214715,86.094,Cycle_1_charge.csv,24,0.99214715,charge,1,
4.094623414,1.506183161,24.99749221,89.016,Cycle_1_charge.csv,24,0.997492213,charge,1,
4.09636787,1.511096005,25.00289676,91.922,Cycle_1_charge.csv,24,1.002896756,charge,1,
4.097552115,1.51296527,25.0095367,94.907,Cycle_1_charge.csv,24,1.009536696,charge,1,
4.098522593,1.509632811,25.02364573,97.844,Cycle_1_charge.csv,24,1.023645732,charge,1,
4.099901529,1.511441813,25.03636293,100.766,Cycle_1_charge.csv,24,1.036362925,charge,1,
4.10107397,1.511119473,25.04509564,103.75,Cycle_1_charge.csv,24,1.045095638,charge,1,
4.101860531,1.514393232,25.0567594,106.703,Cycle_1_charge.csv,24,1.056759404,charge,1,
4.103038335,1.51239048,25.06390034,109.641,Cycle_1_charge.csv,24,1.06390034,charge,1,
4.104337614,1.510024063,25.0689234,112.641,Cycle_1_charge.csv,24,1.068923404,charge,1,
4.105187193,1.51073995,25.08221319,115.594,Cycle_1_charge.csv,24,1.082213189,charge,1,
4.106177506,1.510068654,25.09583094,118.547,Cycle_1_charge.csv,24,1.095830942,charge,1,
4.107134019,1.509815046,25.10343974,121.532,Cycle_1_charge.csv,24,1.103439736,charge,1,
4.108073995,1.511929846,25.11649801,124.5,Cycle_1_charge.csv,24,1.116498013,charge,1,
4.108761145,1.510712868,25.1249455,127.532,Cycle_1_charge.csv,24,1.124945499,charge,1,
4.109711566,1.511248939,25.13920438,130.516,Cycle_1_charge.csv,24,1.139204379,charge,1,
4.110737855,1.510533052,25.14231807,133.563,Cycle_1_charge.csv,24,1.14231807,charge,1,
4.111537696,1.51009453,25.15439989,136.563,Cycle_1_charge.csv,24,1.154399886,charge,1,
4.11216994,1.512522054,25.17080137,139.563,Cycle_1_charge.csv,24,1.170801374,charge,1,
4.113079968,1.509545699,25.17883786,142.563,Cycle_1_charge.csv,24,1.178837856,charge,1,
4.11363282,1.510106405,25.18697979,145.594,Cycle_1_charge.csv,24,1.186979786,charge,1,
4.114555001,1.513696994,25.19641157,148.578,Cycle_1_charge.csv,24,1.196411573,charge,1,
4.115402388,1.511810715,25.20935978,151.61,Cycle_1_charge.csv,24,1.209359776,charge,1,
4.115793004,1.509077714,25.21352634,154.672,Cycle_1_charge.csv,24,1.213526339,charge,1,
4.116746363,1.509168307,25.22749813,157.735,Cycle_1_charge.csv,24,1.227498134,charge,1,
4.117245,1.508664878,25.23726711,160.782,Cycle_1_charge.csv,24,1.237267111,charge,1,
4.117942705,1.506970074,25.24742256,163.844,Cycle_1_charge.csv,24,1.247422559,charge,1,
4.118642596,1.511416907,25.25003189,166.922,Cycle_1_charge.csv,24,1.250031889,charge,1,
4.119436506,1.511009702,25.26660411,170.032,Cycle_1_charge.csv,24,1.266604109,charge,1,
4.120047552,1.508394786,25.26942164,173.11,Cycle_1_charge.csv,24,1.269421638,charge,1,
4.12062053,1.512251486,25.28608478,176.188,Cycle_1_charge.csv,24,1.286084782,charge,1,
4.121202327,1.509602459,25.29414986,179.266,Cycle_1_charge.csv,24,1.294149863,charge,1,
4.12214376,1.512959259,25.304821,182.422,Cycle_1_charge.csv,24,1.304821001,charge,1,
4.122237224,1.509332242,25.31614022,185.563,Cycle_1_charge.csv,24,1.316140216,charge,1,
4.123303809,1.510951439,25.33115641,188.703,Cycle_1_charge.csv,24,1.331156407,charge,1,
4.123763986,1.51227181,25.34382622,191.86,Cycle_1_charge.csv,24,1.343826218,charge,1,
4.124420845,1.509663645,25.34584506,195,Cycle_1_charge.csv,24,1.345845056,charge,1,
4.125073807,1.508821607,25.35490887,198.188,Cycle_1_charge.csv,24,1.354908868,charge,1,
4.125678262,1.508662202,25.36978064,201.36,Cycle_1_charge.csv,24,1.369780645,charge,1,
4.126168051,1.509409844,25.37714908,204.5,Cycle_1_charge.csv,24,1.377149078,charge,1,
4.126566267,1.511612602,25.37982666,207.657,Cycle_1_charge.csv,24,1.37982666,charge,1,
4.127312378,1.513880456,25.38331852,210.813,Cycle_1_charge.csv,24,1.38331852,charge,1,
4.128081409,1.508166262,25.3967205,213.969,Cycle_1_charge.csv,24,1.396720496,charge,1,
4.128457441,1.511541558,25.4073758,217.11,Cycle_1_charge.csv,24,1.407375803,charge,1,
4.128958292,1.511075936,25.42111638,220.297,Cycle_1_charge.csv,24,1.421116379,charge,1,
4.129462034,1.509700404,25.42848061,223.485,Cycle_1_charge.csv,24,1.428480613,charge,1,
4.130024177,1.511366494,25.43495014,226.672,Cycle_1_charge.csv,24,1.43495014,charge,1,
4.130530613,1.511298598,25.44617922,229.86,Cycle_1_charge.csv,24,1.446179217,charge,1,
4.131235406,1.511002552,25.46151868,233.078,Cycle_1_charge.csv,24,1.461518678,charge,1,
4.131832155,1.50970821,25.47117496,236.36,Cycle_1_charge.csv,24,1.471174959,charge,1,
4.132316087,1.512233711,25.48021807,239.594,Cycle_1_charge.csv,24,1.480218073,charge,1,
4.132807698,1.509004345,25.48441354,242.813,Cycle_1_charge.csv,24,1.484413542,charge,1,
4.133497457,1.51402103,25.50519967,246.11,Cycle_1_charge.csv,24,1.505199665,charge,1,
4.134105481,1.509487452,25.50370825,249.375,Cycle_1_charge.csv,24,1.503708248,charge,1,
4.13446612,1.508831847,25.52102122,252.641,Cycle_1_charge.csv,24,1.521021221,charge,1,
4.135222072,1.511498426,25.52604236,255.938,Cycle_1_charge.csv,24,1.526042358,charge,1,
4.135784649,1.507558779,25.53454707,259.219,Cycle_1_charge.csv,24,1.534547066,charge,1,
4.136390259,1.508618314,25.55241548,262.547,Cycle_1_charge.csv,24,1.552415479,charge,1,
4.136829572,1.512096347,25.55603767,265.828,Cycle_1_charge.csv,24,1.556037671,charge,1,
4.137251838,1.508431309,25.5804781,269.157,Cycle_1_charge.csv,24,1.580478103,charge,1,
4.137902074,1.511121377,25.58479371,272.469,Cycle_1_charge.csv,24,1.584793707,charge,1,
4.138286288,1.508245267,25.59057258,275.875,Cycle_1_charge.csv,24,1.590572578,charge,1,
4.138796581,1.508522507,25.60353937,279.219,Cycle_1_charge.csv,24,1.603539375,charge,1,
4.139543978,1.510140761,25.61579699,282.594,Cycle_1_charge.csv,24,1.615796991,charge,1,
4.140074146,1.510948202,25.61732739,285.953,Cycle_1_charge.csv,24,1.617327388,charge,1,
4.140582723,1.512540869,25.63536119,289.344,Cycle_1_charge.csv,24,1.635361186,charge,1,
4.141181169,1.51267089,25.6486034,292.719,Cycle_1_charge.csv,24,1.648603396,charge,1,
4.141665995,1.511992826,25.66037576,296.141,Cycle_1_charge.csv,24,1.660375758,charge,1,
4.142484861,1.509993856,25.67095055,299.547,Cycle_1_charge.csv,24,1.670950551,charge,1,
4.142615152,1.51225025,25.66982836,302.969,Cycle_1_charge.csv,24,1.669828358,charge,1,
4.143323597,1.510785723,25.69055557,306.375,Cycle_1_charge.csv,24,1.690555568,charge,1,
4.143984583,1.513136215,25.69980121,309.797,Cycle_1_charge.csv,24,1.699801214,charge,1,
4.144598787,1.511268983,25.71308661,313.25,Cycle_1_charge.csv,24,1.713086607,charge,1,
4.144992832,1.510120145,25.72503831,316.703,Cycle_1_charge.csv,24,1.725038311,charge,1,
4.145627045,1.511886068,25.7328324,320.157,Cycle_1_charge.csv,24,1.732832401,charge,1,
4.145917393,1.51012506,25.73635495,323.625,Cycle_1_charge.csv,24,1.736354947,charge,1,
4.146744084,1.507504508,25.7436077,327.078,Cycle_1_charge.csv,24,1.743607704,charge,1,
4.147192972,1.510749519,25.7529609,330.563,Cycle_1_charge.csv,24,1.752960904,charge,1,
4.147760147,1.511634434,25.75402373,334.047,Cycle_1_charge.csv,24,1.754023731,charge,1,
4.148296184,1.512116302,25.76659473,337.547,Cycle_1_charge.csv,24,1.766594727,charge,1,
4.149006855,1.511722931,25.7857917,341.063,Cycle_1_charge.csv,24,1.7857917,charge,1,
4.149092336,1.51070668,25.79206827,344.594,Cycle_1_charge.csv,24,1.792068269,charge,1,
4.150210815,1.507890526,25.80660275,348.203,Cycle_1_charge.csv,24,1.806602751,charge,1,
4.150441089,1.513203457,25.80515956,351.735,Cycle_1_charge.csv,24,1.80515956,charge,1,
4.151036026,1.509885649,25.82819809,355.282,Cycle_1_charge.csv,24,1.82819809,charge,1,
4.15173829,1.507921203,25.8409238,358.891,Cycle_1_charge.csv,24,1.840923801,charge,1,
4.152158924,1.513080759,25.84597698,362.485,Cycle_1_charge.csv,24,1.845976984,charge,1,
4.152752886,1.511426918,25.85638704,366.125,Cycle_1_charge.csv,24,1.856387041,charge,1,
4.153682181,1.510387814,25.86857488,369.719,Cycle_1_charge.csv,24,1.868574876,charge,1,
4.154223378,1.51162282,25.86894267,373.36,Cycle_1_charge.csv,24,1.868942673,charge,1,
4.154529112,1.510015412,25.87783913,377,Cycle_1_charge.csv,24,1.877839135,charge,1,
4.154919073,1.510351992,25.89262392,380.641,Cycle_1_charge.csv,24,1.892623922,charge,1,
4.155674204,1.509107673,25.90530348,384.297,Cycle_1_charge.csv,24,1.905303481,charge,1,
4.156093718,1.512389079,25.92101241,387.985,Cycle_1_charge.csv,24,1.921012408,charge,1,
4.156752944,1.509374154,25.92759226,391.688,Cycle_1_charge.csv,24,1.927592257,charge,1,
4.157262757,1.510537464,25.93531244,395.438,Cycle_1_charge.csv,24,1.93531244,charge,1,
4.157908664,1.509946621,25.93686388,399.203,Cycle_1_charge.csv,24,1.936863883,charge,1,
4.158728515,1.511682957,25.95491219,403,Cycle_1_charge.csv,24,1.954912189,charge,1,
4.159144323,1.508037566,25.96957892,406.735,Cycle_1_charge.csv,24,1.969578917,charge,1,
4.159569446,1.511533063,25.97174922,410.5,Cycle_1_charge.csv,24,1.971749217,charge,1,
4.16044238,1.509670699,25.98196664,414.266,Cycle_1_charge.csv,24,1.981966638,charge,1,
4.161218558,1.51221935,25.99108855,418.047,Cycle_1_charge.csv,24,1.991088549,charge,1,
4.161405353,1.509805351,26.00712929,421.844,Cycle_1_charge.csv,24,2.007129294,charge,1,
4.162301331,1.507115284,26.01928557,425.641,Cycle_1_charge.csv,24,2.019285571,charge,1,
4.162529167,1.512831675,26.02904912,429.469,Cycle_1_charge.csv,24,2.029049124,charge,1,
4.163314023,1.509419697,26.0439251,433.282,Cycle_1_charge.csv,24,2.043925103,charge,1,
4.163946724,1.511673817,26.05969508,437.219,Cycle_1_charge.csv,24,2.059695083,charge,1,
4.164394365,1.511787063,26.07322715,441.078,Cycle_1_charge.csv,24,2.073227147,charge,1,
4.165101533,1.511034117,26.08403697,444.938,Cycle_1_charge.csv,24,2.084036973,charge,1,
4.1660154,1.51133439,26.09546362,448.875,Cycle_1_charge.csv,24,2.095463621,charge,1,
4.166136884,1.513831971,26.11121565,452.766,Cycle_1_charge.csv,24,2.111215649,charge,1,
4.167115832,1.510717223,26.1274018,456.75,Cycle_1_charge.csv,24,2.127401795,charge,1,
4.167368914,1.510579203,26.1455504,460.672,Cycle_1_charge.csv,24,2.145550405,charge,1,
4.167813864,1.509939551,26.15139987,464.625,Cycle_1_charge.csv,24,2.151399874,charge,1,
4.168838219,1.51185473,26.16759194,468.563,Cycle_1_charge.csv,24,2.167591942,charge,1,
4.169355569,1.509800833,26.17309287,472.547,Cycle_1_charge.csv,24,2.173092866,charge,1,
4.169937459,1.510251645,26.1849001,476.578,Cycle_1_charge.csv,24,2.184900095,charge,1,
4.170337369,1.512474538,26.19427516,480.547,Cycle_1_charge.csv,24,2.194275165,charge,1,
4.171001939,1.509765698,26.21555529,484.547,Cycle_1_charge.csv,24,2.215555291,charge,1,
4.171613342,1.509360448,26.23529495,488.594,Cycle_1_charge.csv,24,2.235294945,charge,1,
4.172450821,1.510472532,26.25296721,492.657,Cycle_1_charge.csv,24,2.25296721,charge,1,
4.172940946,1.505554683,26.26206609,496.735,Cycle_1_charge.csv,24,2.262066086,charge,1,
4.173599474,1.510945546,26.27429502,500.813,Cycle_1_charge.csv,24,2.274295015,charge,1,
4.174126865,1.512367054,26.28849481,504.907,Cycle_1_charge.csv,24,2.288494808,charge,1,
4.175054975,1.511201422,26.31047223,508.985,Cycle_1_charge.csv,24,2.310472231,charge,1,
4.175383168,1.510815225,26.31323689,513.063,Cycle_1_charge.csv,24,2.31323689,charge,1,
4.176212398,1.512294682,26.33773407,517.172,Cycle_1_charge.csv,24,2.337734067,charge,1,
4.176635184,1.510656904,26.35125938,521.344,Cycle_1_charge.csv,24,2.351259384,charge,1,
4.177431803,1.510738231,26.36897474,525.532,Cycle_1_charge.csv,24,2.368974744,charge,1,
4.177892553,1.511566313,26.38832115,529.766,Cycle_1_charge.csv,24,2.388321149,charge,1,
4.178618421,1.50892196,26.39616915,533.953,Cycle_1_charge.csv,24,2.396169146,charge,1,
4.179192486,1.510521974,26.40524251,538.141,Cycle_1_charge.csv,24,2.405242513,charge,1,
4.179740864,1.510876851,26.42892339,542.391,Cycle_1_charge.csv,24,2.428923386,charge,1,
4.180613067,1.512556726,26.44378602,546.61,Cycle_1_charge.csv,24,2.443786025,charge,1,
4.181377535,1.512055071,26.46142675,550.844,Cycle_1_charge.csv,24,2.461426754,charge,1,
4.181905939,1.510457042,26.4730243,555.125,Cycle_1_charge.csv,24,2.473024305,charge,1,
4.182642916,1.509874016,26.4912272,559.422,Cycle_1_charge.csv,24,2.491227205,charge,1,
4.183287011,1.510655536,26.51109087,563.766,Cycle_1_charge.csv,24,2.511090868,charge,1,
4.183925671,1.507886502,26.52358976,568.11,Cycle_1_charge.csv,24,2.523589757,charge,1,
4.184656786,1.507059603,26.53545112,572.5,Cycle_1_charge.csv,24,2.535451123,charge,1,
4.185448237,1.50916356,26.55661494,576.907,Cycle_1_charge.csv,24,2.556614938,charge,1,
4.185996834,1.511325742,26.58188264,581.344,Cycle_1_charge.csv,24,2.58188264,charge,1,
4.186700366,1.511820341,26.5967676,585.766,Cycle_1_charge.csv,24,2.596767597,charge,1,
4.187752894,1.508499718,26.60524639,590.157,Cycle_1_charge.csv,24,2.605246393,charge,1,
4.188156597,1.511445357,26.6439223,594.547,Cycle_1_charge.csv,24,2.643922302,charge,1,
4.1888185,1.513421296,26.66262036,598.969,Cycle_1_charge.csv,24,2.662620361,charge,1,
4.189688006,1.508143757,26.68490201,603.422,Cycle_1_charge.csv,24,2.684902009,charge,1,
4.190380276,1.507338898,26.69778952,607.907,Cycle_1_charge.csv,24,2.697789516,charge,1,
4.191051804,1.513426621,26.71950154,612.516,Cycle_1_charge.csv,24,2.719501542,charge,1,
4.19181776,1.513415029,26.73750982,617.141,Cycle_1_charge.csv,24,2.737509822,charge,1,
4.192678063,1.508687336,26.75830691,621.641,Cycle_1_charge.csv,24,2.758306912,charge,1,
4.193497045,1.51036141,26.77441527,626.157,Cycle_1_charge.csv,24,2.774415267,charge,1,
4.194676851,1.510870946,26.79272723,630.719,Cycle_1_charge.csv,24,2.792727225,charge,1,
4.195006384,1.50916704,26.80388836,635.266,Cycle_1_charge.csv,24,2.803888364,charge,1,
4.195974363,1.511909101,26.82776132,639.875,Cycle_1_charge.csv,24,2.827761322,charge,1,
4.196807995,1.510434531,26.84997594,644.532,Cycle_1_charge.csv,24,2.849975937,charge,1,
4.197470642,1.5102794,26.86737014,649.188,Cycle_1_charge.csv,24,2.867370143,charge,1,
4.198110775,1.512894221,26.88772937,653.828,Cycle_1_charge.csv,24,2.887729373,charge,1,
4.199219569,1.51124449,26.9129451,658.485,Cycle_1_charge.csv,24,2.912945096,charge,1,
4.199938209,1.512487837,26.93193093,663.172,Cycle_1_charge.csv,24,2.931930926,charge,1,
4.20061892,1.51039059,26.95478887,667.891,Cycle_1_charge.csv,24,2.954788873,charge,1,
4.201337277,1.508606103,26.96809084,673,Cycle_1_charge.csv,24,2.968090839,charge,1,
4.202128587,1.509216049,26.98783524,677.891,Cycle_1_charge.csv,24,2.987835243,charge,1,
4.203111947,1.507532963,27.02208269,682.75,Cycle_1_charge.csv,24,3.022082687,charge,1,
4.203634962,1.505976606,27.04229716,687.672,Cycle_1_charge.csv,24,3.042297159,charge,1,
4.204277558,1.500668279,27.05371156,692.547,Cycle_1_charge.csv,24,3.053711555,charge,1,
4.204868476,1.50021505,27.06849637,697.5,Cycle_1_charge.csv,24,3.068496369,charge,1,
4.205494337,1.497981914,27.09228114,702.5,Cycle_1_charge.csv,24,3.092281141,charge,1,
4.207374073,1.506049105,27.10640405,707.422,Cycle_1_charge.csv,24,3.10640405,charge,1,
4.207509225,1.496159052,27.12268538,712.453,Cycle_1_charge.csv,24,3.12268538,charge,1,
4.207279119,1.483595043,27.14018103,717.516,Cycle_1_charge.csv,24,3.140181031,charge,1,
4.206846739,1.474171014,27.16948792,722.907,Cycle_1_charge.csv,24,3.169487925,charge,1,
4.206933079,1.463657839,27.18203027,728.078,Cycle_1_charge.csv,24,3.182030266,charge,1,
4.206871033,1.449401848,27.19497759,733.297,Cycle_1_charge.csv,24,3.194977587,charge,1,
4.206263323,1.439316428,27.22555989,738.516,Cycle_1_charge.csv,24,3.225559885,charge,1,
4.207244878,1.438497685,27.2380291,744.141,Cycle_1_charge.csv,24,3.238029096,charge,1,
4.20709273,1.426027179,27.25166093,749.532,Cycle_1_charge.csv,24,3.251660926,charge,1,
4.206553827,1.417110329,27.2678827,754.907,Cycle_1_charge.csv,24,3.267882699,charge,1,
4.206056647,1.405524166,27.28099511,760.344,Cycle_1_charge.csv,24,3.280995105,charge,1,
4.206860547,1.405578076,27.29220414,765.75,Cycle_1_charge.csv,24,3.292204143,charge,1,
4.20652358,1.389772403,27.30241183,771.282,Cycle_1_charge.csv,24,3.302411833,charge,1,
4.206420413,1.380013118,27.31949605,777.203,Cycle_1_charge.csv,24,3.319496054,charge,1,
4.206997847,1.380915349,27.33683078,782.891,Cycle_1_charge.csv,24,3.336830781,charge,1,
4.206840088,1.370005076,27.33871224,788.547,Cycle_1_charge.csv,24,3.338712237,charge,1,
4.206455068,1.356857322,27.3541071,794.235,Cycle_1_charge.csv,24,3.354107105,charge,1,
4.207056414,1.357123551,27.36377233,799.907,Cycle_1_charge.csv,24,3.36377233,charge,1,
4.207079806,1.346268408,27.37361874,805.594,Cycle_1_charge.csv,24,3.373618743,charge,1,
4.206451208,1.33577554,27.38288728,811.344,Cycle_1_charge.csv,24,3.382887277,charge,1,
4.207088631,1.335635254,27.39265215,817.063,Cycle_1_charge.csv,24,3.392652155,charge,1,
4.207053432,1.320489004,27.40751882,822.844,Cycle_1_charge.csv,24,3.407518823,charge,1,
4.206958658,1.307257302,27.40975286,828.61,Cycle_1_charge.csv,24,3.409752859,charge,1,
4.206549051,1.299202932,27.41587763,834.469,Cycle_1_charge.csv,24,3.415877631,charge,1,
4.20709909,1.298662004,27.42455162,840.282,Cycle_1_charge.csv,24,3.424551622,charge,1,
4.20685411,1.291001517,27.42900578,846.188,Cycle_1_charge.csv,24,3.429005781,charge,1,
4.207511104,1.286878253,27.43492757,851.985,Cycle_1_charge.csv,24,3.434927566,charge,1,
4.208265397,1.284211552,27.43718997,857.938,Cycle_1_charge.csv,24,3.437189974,charge,1,
4.208185519,1.274803256,27.44261845,863.797,Cycle_1_charge.csv,24,3.442618453,charge,1,
4.207903269,1.262012749,27.44513403,869.766,Cycle_1_charge.csv,24,3.445134032,charge,1,
4.207493801,1.252235884,27.44267988,875.766,Cycle_1_charge.csv,24,3.442679882,charge,1,
4.207374126,1.241516711,27.44205574,881.766,Cycle_1_charge.csv,24,3.442055735,charge,1,
4.206955053,1.228830297,27.44062473,887.782,Cycle_1_charge.csv,24,3.440624729,charge,1,
4.207787025,1.226704093,27.44389356,893.782,Cycle_1_charge.csv,24,3.443893558,charge,1,
4.207250705,1.218147936,27.43793704,899.797,Cycle_1_charge.csv,24,3.437937041,charge,1,
4.207258327,1.201847297,27.43880218,905.844,Cycle_1_charge.csv,24,3.438802182,charge,1,
4.207821534,1.201777925,27.43529553,912,Cycle_1_charge.csv,24,3.435295527,charge,1,
4.207654026,1.193520093,27.44023436,918.172,Cycle_1_charge.csv,24,3.440234361,charge,1,
4.207466474,1.178448377,27.42787507,924.297,Cycle_1_charge.csv,24,3.427875068,charge,1,
4.208235315,1.180244058,27.42657905,930.453,Cycle_1_charge.csv,24,3.426579051,charge,1,
4.207828935,1.16749988,27.41597868,936.61,Cycle_1_charge.csv,24,3.41597868,charge,1,
4.207631358,1.161358013,27.40745604,942.86,Cycle_1_charge.csv,24,3.407456044,charge,1,
4.207094311,1.147918694,27.39670367,949.032,Cycle_1_charge.csv,24,3.396703672,charge,1,
4.207550044,1.145672699,27.38406307,955.297,Cycle_1_charge.csv,24,3.384063069,charge,1,
4.207308122,1.134095423,27.3885482,961.594,Cycle_1_charge.csv,24,3.388548198,charge,1,
4.207088336,1.124492937,27.37581452,967.922,Cycle_1_charge.csv,24,3.375814523,charge,1,
4.207665671,1.124283838,27.36915044,974.203,Cycle_1_charge.csv,24,3.369150442,charge,1,
4.207134499,1.111123927,27.35545452,980.5,Cycle_1_charge.csv,24,3.355454516,charge,1,
4.20798815,1.111952983,27.35044885,986.813,Cycle_1_charge.csv,24,3.350448845,charge,1,
4.207865099,1.097702008,27.33882382,993.188,Cycle_1_charge.csv,24,3.338823825,charge,1,
4.207640966,1.091210547,27.32804721,999.641,Cycle_1_charge.csv,24,3.328047215,charge,1,
4.207319242,1.076344677,27.31760875,1006.094,Cycle_1_charge.csv,24,3.31760875,charge,1,
4.20764563,1.07656034,27.30876227,1012.547,Cycle_1_charge.csv,24,3.308762273,charge,1,
4.207494501,1.067625703,27.29277599,1019,Cycle_1_charge.csv,24,3.292775985,charge,1,
4.207785811,1.064595468,27.28029313,1025.516,Cycle_1_charge.csv,24,3.28029313,charge,1,
4.207396758,1.053819837,27.27320377,1032,Cycle_1_charge.csv,24,3.27320377,charge,1,
4.208211892,1.052827458,27.25964751,1038.594,Cycle_1_charge.csv,24,3.259647508,charge,1,
4.208711009,1.052776202,27.24963444,1045.188,Cycle_1_charge.csv,24,3.249634442,charge,1,
4.208506634,1.040323517,27.23021493,1051.797,Cycle_1_charge.csv,24,3.230214935,charge,1,
4.208038791,1.031644362,27.20842843,1058.438,Cycle_1_charge.csv,24,3.208428429,charge,1,
4.208866921,1.028568111,27.20112068,1065.078,Cycle_1_charge.csv,24,3.201120677,charge,1,
4.208441468,1.018095629,27.17062002,1071.782,Cycle_1_charge.csv,24,3.17062002,charge,1,
4.207855857,1.00909216,27.15562528,1078.453,Cycle_1_charge.csv,24,3.155625277,charge,1,
4.207627264,0.995384622,27.13819451,1085.125,Cycle_1_charge.csv,24,3.138194514,charge,1,
4.20805273,0.99539185,27.12870475,1091.813,Cycle_1_charge.csv,24,3.128704754,charge,1,
4.208426009,0.993779844,27.11777111,1098.532,Cycle_1_charge.csv,24,3.117771114,charge,1,
